edit_history_tweet_ids,author_id,lang,created_at,text,id
['1650503168198062080'],1061213261067051008,ko,2023-04-24T14:13:14.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650503168198062080
['1650459942044975110'],1547484970733957120,ko,2023-04-24T11:21:28.000Z,하노이여행에서 고급 가물치 요리를 외쳐...! 짜까탕롱 Cha Ca Thang Long (출처 : mimio4321.. | 블로그) https://t.co/5nAFaMwpMq,1650459942044975110
['1650433442348417024'],1242092507061571584,ko,2023-04-24T09:36:10.000Z,"최근 읽는 책.
1권은 지난 하노이 여행 때 비행기 안에서 읽었고 지금은 2권 보는 중.
왜 그렇게 인기가 있었는지 이해 그리고 공감. https://t.co/WeewJ9te3E",1650433442348417024
['1650315875361366016'],1142322507535400960,ko,2023-04-24T01:49:00.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650315875361366016
['1650296457260601344'],1276893778020667392,ko,2023-04-24T00:31:51.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650296457260601344
['1650284905367224320'],319432756,ko,2023-04-23T23:45:56.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650284905367224320
['1650261441520492545'],1066332488048365568,ko,2023-04-23T22:12:42.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650261441520492545
['1650236859291926529'],1012449318,ko,2023-04-23T20:35:01.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650236859291926529
['1650230040385257472'],1548030482054467592,ko,2023-04-23T20:07:56.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650230040385257472
['1650208318466695168'],1648004277783371776,ko,2023-04-23T18:41:37.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650208318466695168
['1650195086993670145'],1530896365584551936,ko,2023-04-23T17:49:02.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650195086993670145
['1650194924158205952'],1393808428670152706,ko,2023-04-23T17:48:23.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650194924158205952
['1650144815001264128'],1491332367617003523,ko,2023-04-23T14:29:16.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650144815001264128
['1650144361710256131'],1426164044445089792,ko,2023-04-23T14:27:28.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650144361710256131
['1650143932104474626'],1082902861648777216,ko,2023-04-23T14:25:46.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650143932104474626
['1650143029263765504'],1319211433796644864,ko,2023-04-23T14:22:11.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650143029263765504
['1650142456015654913'],926615884700848128,ko,2023-04-23T14:19:54.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650142456015654913
['1650142352663793664'],1520624476039561218,ko,2023-04-23T14:19:29.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650142352663793664
['1650141291202908160'],1212295109384912896,ko,2023-04-23T14:15:16.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650141291202908160
['1650134557780484096'],1512581631437008897,ko,2023-04-23T13:48:31.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650134557780484096
['1650132131308531712'],1195676386406436865,ko,2023-04-23T13:38:52.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650132131308531712
['1650131590914400256'],1213102813191913472,ko,2023-04-23T13:36:43.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650131590914400256
['1650124172880916484'],909153449907937280,ko,2023-04-23T13:07:15.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650124172880916484
['1650123105959018496'],1009988758727348224,ko,2023-04-23T13:03:00.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650123105959018496
['1650122654983290880'],1280781852278525952,ko,2023-04-23T13:01:13.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650122654983290880
['1650120237570998272'],1431356591069011968,ko,2023-04-23T12:51:37.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650120237570998272
['1650119936382230530'],1438515192099262464,ko,2023-04-23T12:50:25.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650119936382230530
['1650119746397020160'],1530346964038348801,ko,2023-04-23T12:49:39.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650119746397020160
['1650119644345430016'],1600139716028149760,ko,2023-04-23T12:49:15.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650119644345430016
['1650119446374264832'],1505112727546900481,ko,2023-04-23T12:48:28.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650119446374264832
['1650119280455974912'],1203484592239333376,ko,2023-04-23T12:47:48.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650119280455974912
['1650118948871106561'],1520207998861594624,ko,2023-04-23T12:46:29.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650118948871106561
['1650118545806880769'],1419148090678804482,ko,2023-04-23T12:44:53.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650118545806880769
['1650117479287648262'],1297520413581258752,ko,2023-04-23T12:40:39.000Z,"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",1650117479287648262
['1650115226799607814'],1142322507535400960,ko,2023-04-23T12:31:42.000Z,"하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #SetMeFree_Pt2 from #Jimin_FACE by #JIMIN of @BTS_#JIMIN https://t.co/1EXgdZJwGn",1650115226799607814
